,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,TTQ,Month,Year,PxV,Day_Perc_Change,Trend
355,2018-05-29,1612.87,1600.71,1621.79,1600.15,3.85M,3850000,5,2018,6209549500.0,-0.0073974238256129254,No Change
356,2018-05-25,1610.15,1603.0,1614.12,1600.45,2.70M,2700000,5,2018,4347405000.0,-0.0016864347405555202,No Change
357,2018-05-24,1603.07,1598.03,1608.24,1588.38,3.43M,3430000,5,2018,5498530100.0,-0.004397105859702655,No Change
358,2018-05-23,1601.86,1571.05,1601.86,1566.34,3.36M,3360000,5,2018,5382249600.0,-0.0007548017241917337,No Change
359,2018-05-22,1581.4,1589.89,1589.89,1575.25,2.12M,2120000,5,2018,3352568000.0,-0.012772651792291367,No Change
360,2018-05-21,1585.46,1585.0,1592.05,1575.0,2.93M,2930000,5,2018,4645397800.0,0.00256734539016068,No Change
361,2018-05-18,1574.37,1581.33,1583.59,1572.1,2.64M,2640000,5,2018,4156336799.9999995,-0.006994815384809505,No Change
362,2018-05-17,1581.76,1580.56,1594.04,1573.0,2.15M,2150000,5,2018,3400784000.0,0.00469394106849097,No Change
363,2018-05-16,1587.28,1577.5,1594.43,1576.67,2.57M,2570000,5,2018,4079309600.0,0.0034897835322678095,No Change
364,2018-05-15,1576.12,1587.81,1587.8,1565.22,5.08M,5080000,5,2018,8006689599.999999,-0.007030895620180444,No Change
365,2018-05-14,1601.54,1604.0,1611.18,1600.05,2.51M,2510000,5,2018,4019865400.0,0.016128213587798035,No Change
366,2018-05-11,1602.91,1610.99,1611.1,1597.89,2.26M,2260000,5,2018,3622576600.0,0.0008554266518476794,No Change
367,2018-05-10,1609.08,1608.47,1615.6,1603.44,2.82M,2820000,5,2018,4537605600.0,0.00384924917805729,No Change
368,2018-05-09,1608.0,1600.0,1608.0,1592.0,3.64M,3640000,5,2018,5853120000.0,-0.0006711909911253366,No Change
369,2018-05-08,1592.39,1595.0,1596.88,1582.51,3.07M,3070000,5,2018,4888637300.0,-0.009707711442786038,No Change
370,2018-05-07,1600.14,1589.34,1606.95,1587.83,3.80M,3800000,5,2018,6080532000.0,0.004866898184489932,No Change
371,2018-05-04,1580.95,1562.45,1584.9,1562.19,3.44M,3440000,5,2018,5438468000.0,-0.011992700638694176,No Change
372,2018-05-03,1572.08,1560.01,1574.8,1546.02,4.25M,4250000,5,2018,6681340000.0,-0.0056105506182991816,No Change
373,2018-05-02,1569.68,1580.98,1588.5,1566.36,4.36M,4360000,5,2018,6843804800.0,-0.001526639865655599,No Change
374,2018-05-01,1582.26,1563.22,1585.0,1552.18,4.57M,4570000,5,2018,7230928200.0,0.008014372356148991,No Change
375,2018-04-30,1566.13,1582.5,1596.0,1560.94,5.46M,5460000,4,2018,8551069800.000001,-0.010194279069179468,No Change
376,2018-04-27,1572.62,1634.01,1638.1,1567.39,13.05M,13050000,4,2018,20522691000.0,0.004143972722570721,No Change
377,2018-04-26,1517.96,1485.01,1529.42,1478.5,8.80M,8800000,4,2018,13358048000.0,-0.03475728402284073,No Change
378,2018-04-25,1460.17,1458.0,1469.99,1415.02,6.59M,6590000,4,2018,9622520300.0,-0.03807083190597904,No Change
379,2018-04-24,1460.09,1535.8,1539.5,1448.45,7.49M,7490000,4,2018,10936074100.0,-5.4788141106931754e-05,No Change
380,2018-04-23,1517.86,1546.69,1548.0,1503.41,4.47M,4470000,4,2018,6784834200.0,0.03956605414734704,No Change
381,2018-04-20,1527.49,1561.2,1561.2,1516.09,5.54M,5540000,4,2018,8462294600.0,0.006344458645725082,No Change
382,2018-04-19,1556.91,1543.22,1568.52,1539.06,6.52M,6520000,4,2018,10151053200.0,0.01926035522327485,No Change
383,2018-04-18,1527.84,1514.65,1533.8,1504.11,5.23M,5230000,4,2018,7990603200.0,-0.018671599514422876,No Change
384,2018-04-17,1503.83,1462.3,1507.19,1457.02,5.11M,5110000,4,2018,7684571300.0,-0.015714996334694753,No Change
385,2018-04-16,1441.5,1445.0,1447.0,1427.48,2.81M,2810000,4,2018,4050615000.0,-0.041447504039685334,No Change
386,2018-04-13,1430.79,1449.13,1459.78,1424.52,3.69M,3690000,4,2018,5279615100.0,-0.0074297606659730064,No Change
387,2018-04-12,1448.5,1439.5,1452.12,1435.06,3.14M,3140000,4,2018,4548290000.0,0.012377777311834759,No Change
388,2018-04-11,1427.05,1439.44,1448.78,1424.89,3.58M,3580000,4,2018,5108839000.0,-0.014808422506040753,No Change
389,2018-04-10,1436.22,1431.99,1438.38,1415.7,4.28M,4280000,4,2018,6147021600.0,0.006425843523352404,No Change
390,2018-04-09,1406.08,1425.03,1438.48,1402.57,4.21M,4210000,4,2018,5919596800.0,-0.020985642868084353,No Change
391,2018-04-06,1405.23,1429.97,1452.5,1400.26,5.88M,5880000,4,2018,8262752400.0,-0.0006045175238961198,No Change
392,2018-04-05,1451.75,1441.99,1459.56,1427.07,6.41M,6410000,4,2018,9305717500.0,0.03310490097706431,No Change
393,2018-04-04,1410.57,1358.24,1415.39,1352.88,6.98M,6980000,4,2018,9845778600.0,-0.028365765455484748,No Change
394,2018-04-03,1392.05,1391.38,1414.0,1355.33,10.23M,10230000,4,2018,14240671500.0,-0.013129444125424494,No Change
