Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Feb 01, 2019","1,626.23","1,638.88","1,673.06","1,622.01",11.51M
"Jan 31, 2019","1,718.73","1,692.85","1,736.41","1,679.08",10.91M
"Jan 30, 2019","1,670.43","1,623.00","1,676.95","1,619.68",5.78M
"Jan 29, 2019","1,593.88","1,631.27","1,632.38","1,590.72",4.63M
"Jan 28, 2019","1,637.89","1,643.59","1,645.00","1,614.09",4.84M
"Jan 25, 2019","1,670.57","1,670.50","1,683.48","1,661.61",4.96M
"Jan 24, 2019","1,654.93","1,641.07","1,657.26","1,631.78",4.09M
"Jan 23, 2019","1,640.02","1,656.00","1,657.43","1,612.00",5.23M
"Jan 22, 2019","1,632.17","1,681.00","1,681.87","1,610.20",6.42M
"Jan 18, 2019","1,696.20","1,712.00","1,716.20","1,691.54",6.02M
"Jan 17, 2019","1,693.22","1,680.00","1,700.17","1,677.50",4.21M
"Jan 16, 2019","1,683.78","1,684.22","1,705.00","1,675.88",6.37M
"Jan 15, 2019","1,674.56","1,632.00","1,675.16","1,626.01",6.00M
"Jan 14, 2019","1,617.21","1,615.00","1,648.20","1,595.15",6.01M
"Jan 11, 2019","1,640.56","1,640.55","1,660.29","1,636.22",4.69M
"Jan 10, 2019","1,656.22","1,641.01","1,663.25","1,621.62",6.51M
"Jan 09, 2019","1,659.42","1,652.98","1,667.80","1,641.40",6.35M
"Jan 08, 2019","1,656.58","1,664.69","1,676.61","1,616.61",8.88M
"Jan 07, 2019","1,629.51","1,602.31","1,634.56","1,589.18",7.99M
"Jan 04, 2019","1,575.39","1,530.00","1,594.00","1,518.31",9.18M
"Jan 03, 2019","1,500.28","1,520.01","1,538.00","1,497.11",6.98M
"Jan 02, 2019","1,539.13","1,465.20","1,553.36","1,460.93",7.98M
"Dec 31, 2018","1,501.97","1,510.80","1,520.76","1,487.00",6.95M
"Dec 28, 2018","1,478.02","1,473.35","1,513.47","1,449.00",8.83M
"Dec 27, 2018","1,461.64","1,454.20","1,469.00","1,390.31",9.72M
"Dec 26, 2018","1,470.90","1,368.89","1,473.16","1,363.01",10.41M
"Dec 24, 2018","1,343.96","1,346.00","1,396.03","1,307.00",7.22M
"Dec 21, 2018","1,377.45","1,464.99","1,480.00","1,363.96",13.64M
"Dec 20, 2018","1,460.83","1,484.00","1,509.50","1,432.69",9.99M
"Dec 19, 2018","1,495.08","1,543.05","1,584.53","1,483.18",8.79M
"Dec 18, 2018","1,551.48","1,540.00","1,567.55","1,523.01",6.52M
"Dec 17, 2018","1,520.91","1,566.00","1,576.13","1,505.01",8.83M
"Dec 14, 2018","1,591.91","1,638.00","1,642.57","1,585.00",6.37M
"Dec 13, 2018","1,658.38","1,680.00","1,692.12","1,641.50",5.27M
"Dec 12, 2018","1,663.54","1,669.00","1,704.99","1,660.27",6.60M
"Dec 11, 2018","1,643.24","1,678.00","1,679.47","1,619.60",6.24M
